IP,MAC,Descricao
192.168.0.1,c4:e9:84:6e:1d:46,Dispositivo de Rede
192.168.0.110,00:12:13:05:5d:42,Dispositivo de Rede
192.168.0.121,50:e5:49:f3:94:12,Dispositivo de Rede
192.168.0.123,00:e0:4c:30:f8:02,Dispositivo de Rede
192.168.0.140,ac:74:b1:91:28:0f,Dispositivo de Rede
192.168.0.204,2a:87:ba:09:17:20,Dispositivo de Rede
192.168.0.206,12:27:f5:02:c5:cb,Dispositivo de Rede
192.168.0.200,12:27:f5:02:c5:cb,Dispositivo de Rede
192.168.0.203,2a:87:ba:09:17:20,Dispositivo de Rede
192.168.0.202,2a:87:ba:09:17:20,Dispositivo de Rede
192.168.0.205,2a:87:ba:09:17:20,Dispositivo de Rede
192.168.0.201,2a:87:ba:09:17:20,Dispositivo de Rede
