IP,MAC,FABRICANTE
192.168.0.1,c4:e9:84:6e:1d:46,"TP-LINK TECHNOLOGIES CO.,LTD."
192.168.0.110,00:12:13:05:5d:42,Metrohm AG
192.168.0.121,50:e5:49:f3:94:12,"GIGA-BYTE TECHNOLOGY CO.,LTD."
192.168.0.123,00:e0:4c:30:f8:02,REALTEK SEMICONDUCTOR CORP.
192.168.0.100,7c:87:ce:8b:4f:ae,Espressif Inc.
192.168.0.101,fc:67:1f:ed:e4:b7,Tuya Smart Inc.
192.168.0.140,ac:74:b1:91:28:0f,Intel Corporate
192.168.0.204,2a:87:ba:09:17:20,Fabricante Oculto ou Desconhecido
192.168.0.206,12:27:f5:02:c5:cb,Fabricante Oculto ou Desconhecido
192.168.0.200,12:27:f5:02:c5:cb,Fabricante Oculto ou Desconhecido
192.168.0.207,2a:87:ba:09:17:20,Fabricante Oculto ou Desconhecido
192.168.0.202,2a:87:ba:09:17:20,Fabricante Oculto ou Desconhecido
192.168.0.205,2a:87:ba:09:17:20,Fabricante Oculto ou Desconhecido
192.168.0.203,2a:87:ba:09:17:20,Fabricante Oculto ou Desconhecido
192.168.0.208,2a:87:ba:09:17:20,Fabricante Oculto ou Desconhecido
192.168.0.201,2a:87:ba:09:17:20,Fabricante Oculto ou Desconhecido
